data_path,type,elapsed,algorithm ,k,seed
./usl_data/titanic_train.csv,one session,21.0323357582092,GMM,3,3
./usl_data/titanic_train.csv,one shot,22.461436510086106,GMM,3,3
./usl_data/titanic_train.csv,multiple session,41.51740956306461,GMM,3,3
./usl_data/titanic_train.csv,one session,21.0052943229675,GMM,3,3
./usl_data/titanic_train.csv,one shot,22.1876890659332,GMM,3,3
./usl_data/titanic_train.csv,multiple session,41.316570520401,GMM,3,3
./usl_data/titanic_train.csv,one session,21.0920352935791,GMM,3,3
./usl_data/mnist_test.csv,one shot,485.6638126373291,GMM,10,3
./usl_data/mnist_test.csv,multiple session,313.3653380870818,GMM,10,3
./usl_data/mnist_test.csv,one session,404.4818768501282,GMM,10,3
./usl_data/mnist_test.csv,one shot,482.28143763542175,GMM,10,3
./usl_data/mnist_test.csv,multiple session,302.3168613910675,GMM,10,3
./usl_data/mnist_test.csv,one session,425.91024804115295,GMM,10,3
./usl_data/mnist_test.csv,one shot,485.6337151527405,GMM,10,3
./usl_data/mnist_test.csv,multiple session,297.9414269924164,GMM,10,3
./usl_data/mnist_test.csv,one session,411.7855415344238,GMM,10,3
./usl_data/mnist_test.csv,one shot,494.0276017189026,GMM,10,3
./usl_data/mnist_test.csv,multiple session,308.0337247848512,GMM,10,3
./usl_data/mnist_test.csv,one session,424.10576796531683,GMM,10,3
./usl_data/mnist_test.csv,one shot,490.6510088443756,GMM,10,3
./usl_data/mnist_test.csv,multiple session,308.29776978492737,GMM,10,3
./usl_data/mnist_test.csv,one session,435.1023709774017,GMM,10,3
./usl_data/mnist_test.csv,one shot,529.1146204471588,GMM,10,3
./usl_data/mnist_test.csv,multiple session,331.1099057197572,GMM,10,3
./usl_data/mnist_test.csv,one session,426.50945448875433,GMM,10,3
./usl_data/mnist_test.csv,one shot,485.8981580734253,GMM,10,3
./usl_data/mnist_test.csv,multiple session,309.56658911705017,GMM,10,3
./usl_data/mnist_test.csv,one session,422.5324056148529,GMM,10,3
./usl_data/mnist_test.csv,one shot,487.8468508720398,GMM,10,3
./usl_data/mnist_test.csv,multiple session,297.6231036186218,GMM,10,3
./usl_data/mnist_test.csv,one session,411.50294947624207,GMM,10,3
./usl_data/mnist_test.csv,one shot,497.18342447280884,GMM,10,3
./usl_data/mnist_test.csv,multiple session,312.52862095832825,GMM,10,3
./usl_data/mnist_test.csv,one session,423.3238937854767,GMM,10,3
./usl_data/mnist_test.csv,one shot,518.8913776874542,GMM,10,3
./usl_data/mnist_test.csv,multiple session,361.013720035553,GMM,10,3
./usl_data/mnist_test.csv,one session,419.9116661548615,GMM,10,3
./usl_data/mnist_test.csv,one session,411.74833250045776,GMM,10,3
